иду получать первый в своей жизни микрозайм,0
спрашивайте ответы  поясняйте за подводные камни,0
отдавать планируешь,0
зачем полез в это болото,0
конечно,0
остановись  не ешь  подумой,1
маленькое добровольное рабство,1
там огромные проценты,0
взял тыщу  должен потом сто тыщ,0
просить деньги у родителей я не хочу  занимать мне не у кого  кредит в сбербанке вряд ли выдадут ибо просрочен паспорт  а деньги нужны,0
остаются только микрокредиты  благо что я живу в таком районе  где стоит 5 микрорганизаций подряд на микроулице,0
какая то странная бизнес схема,0
люди  которые берут тыщу в долг  никогда не заработают 100 тыщ,0
микрокредиты просят паспорт,0
зачем тебе деньги,0
они отдают  ибо их пиздят коллекторы,0
а как они находят сто тыщ,0
продают имущество,0
нахуй идти куда то  можно дома это все сделать,1
льтифора,0
чмоня  не гори,1
сырникиахахахахах,1
бля  правда не мог вспомнить слово карниз,1
я совсем отупел,0
мимо,0
в зеркале у тебя рохля  долбаёб,1
батонфайликластикбордюр,1
батонфайлластикбордюр,1
ну а че это бля,1
буханка  обложка  стёрка  паребрик,1
батонфайлластикбордюр,1
батон,1
файл,0
резинка стиралка,0
бордюр,0
булка  файлик  стиральная резинка  поребрик,1
но файлики я иногда называю мультифорками  потому что это вводит в ступор,0
неблять  творожники  ахуеть просто,1
булка по кетик с тёрка по ребрик,1
булкапапкастиральная резинкапоребрик,1
батонфайлластикбордюр,1
рохля складовщик кун,1
батонфайлстёркабордюр,1
батон,1
батонфайл вкладышластикбордюртвёрдо и чётко,1
батон файлрезинкабордюр,1
булкапапкастиралкаосвальт,1
творожники,0
знаешь парагрина,0
батон  файлик  стирачка  бордюр,0
похоже на тефтели  карниз и штора  клубника  хз что это  то ли блины  то ли котлеты,0
батон  файл  ластик  бордюр фрикадельки  багета штора  клубника  сырники,0
батон  файл  ластик  бордюр тефтели  гардина и занавеска  клубника  сырники,0
и еще вот эти штуки тоже непонятно как называть,0
хлеб файл ластик бордюр,0
хуекладовщик  блядб,1
это  сука вилочный погрузчик,0
какие нахуй мультифоры,1
это блять что то вроде мантикор,1
батонфайлстеркапаребрик,1
закатка корректор половник пиво,0
батон  файл  ластик  бардюр,0
батон  файл  стёрка  поребрик ёжики  карниз и занавески  клубника и вроде сырники  если я правильно понял,0
хуезакаточная машинкакорректорполовникмоча в банке,1
крышкамазокполовникпивасик,1
гардина и занавескаты ебобо,1
гардина это плотная темная занавеска  типа как в театре,0
хлеб микрофолора правильно вроде но я называю файликомстиралкатротуар,0
закатывалказамазывалкапомешивалкамоча,1
ииии у нас победитель,0
открывашка  корректор  половник  полтораха,0
батон мультифора резинка бордюр,0
мазокты ебанутый,1
мазок на анализы чтоле сдал,1
это еще ладно  но как называется пикрелейтед херня,1
гардина это плотная темная занавеска,0
аллах  его посланник  его семья и сподвижники,1
только пиэма,0
опхуй,1
це рельс,0
рельс нахуй,1
котмногоугольникрвотная пастилкагазон,0
сиська,1
лол  слово из спамлиста,0
закаточная машинкаштрихполовникпиво,0
ля илляхи ил ляля,1
освящу1  пидорашье хрючево2  файл,1
можно использовать как гандон,1
3  ластик,0
4  бордюр   пидорашье хрючево2  карниз  шторы3  клубничка4  пидорашье хрючево,0
батонфайлластикпоребрикдс3,0
тавр же,0
а этих как,0
батонфайликстеркабордюр ноу дискасс,0
ажи  как вот эта поебень называется       рокла   батон  новинка  или  молочный   на нов похожфайлстрирачка   старательная резинка   корректор бордюр   поребрик,0
батон ластика,0
рельс,0
половник   половник  половник  помешивалка  половник  половникпиздос  селюки не знают как называется черпак,0
металл для сдачи,0
на 3 виктория  неучи,0
как гандон лучше пакет использовать целлофановый  канцелярской резинкой его крепишь и вперед,1
в студенчестве даже так выворачивались  всяко надежнее чем презервативы гусарские,1
черпаккакое то древне пидоранское говно,1
маркс и энгельс,0
тефтели2,0
гардина и шторы3,0
клубника4,0
сырники,0
садись 2 это двутавр,0
ключ закруткакорректорчерпакпивандопало,0
закаточный ключ  похоже на корректор  черпак  компот или пиво какое то,0
пиздос  селюки не знают как называется черпакой вей  этот гой обозвал поварёшку черпаком,1
троицкий и дзержинский,0
и еще вот эти непонятные предметы,0
а теперь гугли и узнавай что черпаком его зовут как раз селюки или хохлы  что одно и то же,0
не слышал ничего про этого жиробусамимониттер,0
это дуршлаг  ебанутый,1
бенедикт и кембербетч,0
